language,text,sentiment
English,Ithu valiya problem aanu.,negative
English,Itâ€™s raining outside.!,neutral
Tanglish,Romba kastam-a irukku! :),negative
Manglish,Ithupole oru good news kaananilla!!,positive
English,Super-a irundhuchu meeting!.,positive
Manglish,Ithupole oru good news kaananilla!.,positive
English,Itâ€™s raining outside.!,neutral
Manglish,Njan just avide poyi vannu. :),neutral
English,Ithu valiya problem aanu.,negative
Manglish,Njan just avide poyi vannu. :),neutral
Manglish,Ithupole oru good news kaananilla!.,positive
English,Super-a irundhuchu meeting!.,positive
English,Itâ€™s raining outside.,neutral
English,Iâ€™m really happy with the result!,positive
Manglish,Ithupole oru good news kaananilla!.,positive
Tanglish,Romba kastam-a irukku!,negative
English,Itâ€™s raining outside.!,neutral
English,I didnâ€™t like the product at all..,negative
English,Itâ€™s raining outside.!,neutral
English,I didnâ€™t like the product at all..,negative
Manglish,Njan just avide poyi vannu. :),neutral
English,Ithu valiya problem aanu. :),negative
Tanglish,Romba kastam-a irukku!!,negative
English,Ithu valiya problem aanu.!,negative
English,Super-a irundhuchu meeting!.,positive
Manglish,Ithupole oru good news kaananilla!,positive
Manglish,Ithupole oru good news kaananilla! :),positive
Tanglish,Naan station ku poitten. :),neutral
Manglish,Ithupole oru good news kaananilla!!,positive
Tanglish,Romba kastam-a irukku!!,negative
Manglish,Ithupole oru good news kaananilla!!,positive
Tanglish,Romba kastam-a irukku!.,negative
Tanglish,Naan station ku poitten.!,neutral
Manglish,Ithupole oru good news kaananilla!,positive
English,Super-a irundhuchu meeting!,positive
English,Iâ€™m really happy with the result!,positive
Tanglish,Naan station ku poitten..,neutral
Manglish,Njan just avide poyi vannu. :),neutral
Tanglish,Naan station ku poitten. :),neutral
English,Ithu valiya problem aanu. :),negative
English,Super-a irundhuchu meeting! :),positive
Tanglish,Naan station ku poitten.,neutral
Manglish,Ithupole oru good news kaananilla!.,positive
Tanglish,Romba kastam-a irukku!,negative
Tanglish,Romba kastam-a irukku! :),negative
English,Super-a irundhuchu meeting! :),positive
English,I didnâ€™t like the product at all..,negative
English,Ithu valiya problem aanu.,negative
English,Super-a irundhuchu meeting! :),positive
English,Super-a irundhuchu meeting!,positive
Tanglish,Romba kastam-a irukku! :),negative
English,Ithu valiya problem aanu..,negative
English,Super-a irundhuchu meeting!,positive
English,Itâ€™s raining outside.,neutral
English,Iâ€™m really happy with the result!.,positive
Manglish,Njan just avide poyi vannu.,neutral
English,I didnâ€™t like the product at all.,negative
Tanglish,Naan station ku poitten.!,neutral
English,Iâ€™m really happy with the result!,positive
English,Super-a irundhuchu meeting!.,positive
English,Iâ€™m really happy with the result! :),positive
English,Super-a irundhuchu meeting!!,positive
English,Iâ€™m really happy with the result! :),positive
English,Ithu valiya problem aanu. :),negative
English,Itâ€™s raining outside.,neutral
Tanglish,Romba kastam-a irukku!!,negative
Tanglish,Romba kastam-a irukku!,negative
Manglish,Ithupole oru good news kaananilla!.,positive
English,Itâ€™s raining outside.,neutral
Tanglish,Romba kastam-a irukku! :),negative
English,Itâ€™s raining outside.!,neutral
English,Ithu valiya problem aanu. :),negative
English,Iâ€™m really happy with the result!,positive
English,Itâ€™s raining outside.!,neutral
Tanglish,Naan station ku poitten. :),neutral
English,Itâ€™s raining outside..,neutral
English,I didnâ€™t like the product at all.,negative
Manglish,Njan just avide poyi vannu.!,neutral
Tanglish,Naan station ku poitten.!,neutral
English,I didnâ€™t like the product at all.!,negative
Manglish,Ithupole oru good news kaananilla!,positive
English,Super-a irundhuchu meeting!!,positive
Manglish,Njan just avide poyi vannu..,neutral
Tanglish,Romba kastam-a irukku!!,negative
English,Ithu valiya problem aanu. :),negative
Tanglish,Naan station ku poitten.,neutral
English,Ithu valiya problem aanu..,negative
English,Itâ€™s raining outside. :),neutral
Tanglish,Romba kastam-a irukku!!,negative
English,Super-a irundhuchu meeting! :),positive
Manglish,Ithupole oru good news kaananilla!!,positive
English,Itâ€™s raining outside. :),neutral
Manglish,Njan just avide poyi vannu.!,neutral
Tanglish,Romba kastam-a irukku!.,negative
English,Super-a irundhuchu meeting! :),positive
English,Ithu valiya problem aanu. :),negative
English,Ithu valiya problem aanu. :),negative
Manglish,Njan just avide poyi vannu. :),neutral
Tanglish,Romba kastam-a irukku!,negative
English,Ithu valiya problem aanu.!,negative
Tanglish,Naan station ku poitten..,neutral
English,I didnâ€™t like the product at all.!,negative
Tanglish,Naan station ku poitten. :),neutral
English,Iâ€™m really happy with the result!,positive
English,Iâ€™m really happy with the result! :),positive
Manglish,Njan just avide poyi vannu..,neutral
English,Itâ€™s raining outside.!,neutral
English,I didnâ€™t like the product at all.,negative
Tanglish,Romba kastam-a irukku!!,negative
English,Ithu valiya problem aanu.,negative
Manglish,Njan just avide poyi vannu..,neutral
Manglish,Ithupole oru good news kaananilla!!,positive
English,Super-a irundhuchu meeting!!,positive
Tanglish,Romba kastam-a irukku!!,negative
Tanglish,Romba kastam-a irukku! :),negative
English,I didnâ€™t like the product at all.!,negative
English,Iâ€™m really happy with the result!.,positive
English,I didnâ€™t like the product at all. :),negative
English,Ithu valiya problem aanu.,negative
Tanglish,Naan station ku poitten.!,neutral
Tanglish,Romba kastam-a irukku!,negative
Tanglish,Naan station ku poitten. :),neutral
English,Iâ€™m really happy with the result!,positive
English,Itâ€™s raining outside.!,neutral
English,I didnâ€™t like the product at all. :),negative
English,Super-a irundhuchu meeting!,positive
English,Super-a irundhuchu meeting! :),positive
English,I didnâ€™t like the product at all. :),negative
Tanglish,Naan station ku poitten. :),neutral
Tanglish,Naan station ku poitten. :),neutral
English,I didnâ€™t like the product at all..,negative
English,Ithu valiya problem aanu.,negative
Manglish,Njan just avide poyi vannu..,neutral
English,Ithu valiya problem aanu.!,negative
English,Iâ€™m really happy with the result! :),positive
English,I didnâ€™t like the product at all.!,negative
English,Iâ€™m really happy with the result! :),positive
English,Super-a irundhuchu meeting! :),positive
English,Iâ€™m really happy with the result! :),positive
Manglish,Njan just avide poyi vannu.!,neutral
Manglish,Ithupole oru good news kaananilla!,positive
English,Ithu valiya problem aanu. :),negative
Tanglish,Romba kastam-a irukku!!,negative
Manglish,Ithupole oru good news kaananilla!.,positive
English,Super-a irundhuchu meeting!.,positive
Tanglish,Romba kastam-a irukku!.,negative
English,I didnâ€™t like the product at all.,negative
English,Ithu valiya problem aanu. :),negative
English,Super-a irundhuchu meeting!!,positive
Tanglish,Naan station ku poitten..,neutral
Manglish,Njan just avide poyi vannu. :),neutral
English,I didnâ€™t like the product at all.!,negative
English,Super-a irundhuchu meeting!,positive
Manglish,Ithupole oru good news kaananilla!!,positive
Manglish,Njan just avide poyi vannu. :),neutral
Manglish,Njan just avide poyi vannu.!,neutral
English,I didnâ€™t like the product at all.,negative
English,I didnâ€™t like the product at all.,negative
English,Itâ€™s raining outside. :),neutral
Manglish,Njan just avide poyi vannu.!,neutral
English,I didnâ€™t like the product at all.,negative
English,Itâ€™s raining outside..,neutral
English,Super-a irundhuchu meeting!,positive
Manglish,Njan just avide poyi vannu. :),neutral
Manglish,Ithupole oru good news kaananilla!.,positive
English,Itâ€™s raining outside.!,neutral
Manglish,Njan just avide poyi vannu.,neutral
Manglish,Njan just avide poyi vannu.,neutral
English,Itâ€™s raining outside.!,neutral
Tanglish,Romba kastam-a irukku!.,negative
Tanglish,Romba kastam-a irukku!,negative
Manglish,Njan just avide poyi vannu. :),neutral
English,I didnâ€™t like the product at all..,negative
Manglish,Ithupole oru good news kaananilla!.,positive
English,Itâ€™s raining outside. :),neutral
English,Super-a irundhuchu meeting!!,positive
Manglish,Njan just avide poyi vannu.,neutral
Tanglish,Romba kastam-a irukku! :),negative
English,Super-a irundhuchu meeting!.,positive
English,Itâ€™s raining outside.,neutral
Manglish,Njan just avide poyi vannu.!,neutral
English,Itâ€™s raining outside.,neutral
English,Itâ€™s raining outside..,neutral
Tanglish,Romba kastam-a irukku! :),negative
Manglish,Njan just avide poyi vannu..,neutral
English,Iâ€™m really happy with the result!!,positive
